cycle number	Q discharge/mA.h	Q charge/mA.h	Ewe/V	(Q-Qo)/mA.h	time/s	<I>/mA	Capacity/mA.h	Efficiency/%	
0,000000000000000E+000	5,559325579182306E-001	0,000000000000000E+000	2,6520853E+000	1,011527281642225E-001	1,280478567652390E+003	-4,497749370945653E+000	5,559325579182306E-001	0,0000000E+000
0,000000000000000E+000	5,934133053657213E-001	0,000000000000000E+000	2,6447334E+000	6,367198071673182E-002	1,310478566894526E+003	-4,497689807320085E+000	5,934133053657213E-001	0,0000000E+000
0,000000000000000E+000	6,308944033287895E-001	0,000000000000000E+000	2,6375535E+000	2,619088275366359E-002	1,340478566136662E+003	-4,497731869190450E+000	6,308944033287895E-001	0,0000000E+000
0,000000000000000E+000	6,683750063419341E-001	0,000000000000000E+000	2,6304345E+000	-1,128972025948101E-002	1,370478565378799E+003	-4,497672475198115E+000	6,683750063419341E-001	0,0000000E+000
0,000000000000000E+000	7,058560060946146E-001	0,000000000000000E+000	2,6234570E+000	-4,877072001216147E-002	1,400478564620935E+003	-4,497720083943621E+000	7,058560060946146E-001	0,0000000E+000
0,000000000000000E+000	7,433359270626174E-001	0,000000000000000E+000	2,6165249E+000	-8,625064098016420E-002	1,430478563863071E+003	-4,497590629779025E+000	7,433359270626174E-001	0,0000000E+000
0,000000000000000E+000	7,808162878283395E-001	0,000000000000000E+000	2,6097116E+000	-1,237310017458863E-001	1,460478563105207E+003	-4,497643405506676E+000	7,808162878283395E-001	0,0000000E+000
0,000000000000000E+000	8,182976312076781E-001	0,000000000000000E+000	2,6029975E+000	-1,612123451252249E-001	1,490478562347344E+003	-4,497761319143637E+000	8,182976312076781E-001	0,0000000E+000
0,000000000000000E+000	8,557786048874325E-001	0,000000000000000E+000	2,5964363E+000	-1,986933188049793E-001	1,520478561589480E+003	-4,497716955192423E+000	8,557786048874325E-001	0,0000000E+000
0,000000000000000E+000	8,932600268885824E-001	0,000000000000000E+000	2,5899780E+000	-2,361747408061292E-001	1,550478560831616E+003	-4,497770753761237E+000	8,932600268885824E-001	0,0000000E+000
0,000000000000000E+000	9,307418091082308E-001	0,000000000000000E+000	2,5836995E+000	-2,736565230257776E-001	1,580478560073752E+003	-4,497813979982142E+000	9,307418091082308E-001	0,0000000E+000
0,000000000000000E+000	9,682231812013785E-001	0,000000000000000E+000	2,5775809E+000	-3,111378951189253E-001	1,610478559315889E+003	-4,497764764800819E+000	9,682231812013785E-001	0,0000000E+000
0,000000000000000E+000	1,005704823003319E+000	0,000000000000000E+000	2,5716844E+000	-3,486195369208654E-001	1,640478558558025E+003	-4,497797129856721E+000	1,005704823003319E+000	0,0000000E+000
0,000000000000000E+000	1,043186038312673E+000	0,000000000000000E+000	2,5660625E+000	-3,861007522302204E-001	1,670478557800161E+003	-4,497745950745219E+000	1,043186038312673E+000	0,0000000E+000
0,000000000000000E+000	1,080667645103799E+000	0,000000000000000E+000	2,5605667E+000	-4,235823590213458E-001	1,700478557042297E+003	-4,497792928558854E+000	1,080667645103799E+000	0,0000000E+000
0,000000000000000E+000	1,118148932793352E+000	0,000000000000000E+000	2,5553038E+000	-4,610636467108992E-001	1,730478556284434E+003	-4,497754636369243E+000	1,118148932793352E+000	0,0000000E+000
0,000000000000000E+000	1,155630143638558E+000	0,000000000000000E+000	2,5503082E+000	-4,985448575561047E-001	1,760478555526570E+003	-4,497745415047269E+000	1,155630143638558E+000	0,0000000E+000
0,000000000000000E+000	1,193111946548489E+000	0,000000000000000E+000	2,5454924E+000	-5,360266604660352E-001	1,790478554768706E+003	-4,497816462816067E+000	1,193111946548489E+000	0,0000000E+000
0,000000000000000E+000	1,230592838211219E+000	0,000000000000000E+000	2,5408444E+000	-5,735075521287654E-001	1,820478554010842E+003	-4,497707113149252E+000	1,230592838211219E+000	0,0000000E+000
0,000000000000000E+000	1,268073191257609E+000	0,000000000000000E+000	2,5363417E+000	-6,109879051751561E-001	1,850478553252979E+003	-4,497642479186895E+000	1,268073191257609E+000	0,0000000E+000
0,000000000000000E+000	1,305553599661165E+000	0,000000000000000E+000	2,5321367E+000	-6,484683135787116E-001	1,880478552495115E+003	-4,497649122046839E+000	1,305553599661165E+000	0,0000000E+000
0,000000000000000E+000	1,343034870254861E+000	0,000000000000000E+000	2,5281305E+000	-6,859495841724078E-001	1,910478551737251E+003	-4,497752584866328E+000	1,343034870254861E+000	0,0000000E+000
0,000000000000000E+000	1,380515456388527E+000	0,000000000000000E+000	2,5244143E+000	-7,234301703060733E-001	1,940478550979387E+003	-4,497670449660573E+000	1,380515456388527E+000	0,0000000E+000
0,000000000000000E+000	1,417995813829263E+000	0,000000000000000E+000	2,5209160E+000	-7,609105277468099E-001	1,970478550221524E+003	-4,497643006508406E+000	1,417995813829263E+000	0,0000000E+000
0,000000000000000E+000	1,455476088303010E+000	0,000000000000000E+000	2,5176239E+000	-7,983908022205565E-001	2,000478549463660E+003	-4,497633050469362E+000	1,455476088303010E+000	0,0000000E+000
0,000000000000000E+000	1,492956760540724E+000	0,000000000000000E+000	2,5146029E+000	-8,358714744582706E-001	2,030478548705796E+003	-4,497680782146669E+000	1,492956760540724E+000	0,0000000E+000
0,000000000000000E+000	1,530437046540737E+000	0,000000000000000E+000	2,5116241E+000	-8,733517604582840E-001	2,060478547947932E+003	-4,497634433621405E+000	1,530437046540737E+000	0,0000000E+000
0,000000000000000E+000	1,567918024406725E+000	0,000000000000000E+000	2,5087290E+000	-9,108327383242714E-001	2,090478547190069E+003	-4,497717457540383E+000	1,567918024406725E+000	0,0000000E+000
0,000000000000000E+000	1,605398821690692E+000	0,000000000000000E+000	2,5058608E+000	-9,483135356082386E-001	2,120478546432205E+003	-4,497695787697433E+000	1,605398821690692E+000	0,0000000E+000
0,000000000000000E+000	1,642879040774955E+000	0,000000000000000E+000	2,5030692E+000	-9,857937546925015E-001	2,150478545674341E+003	-4,497626403731141E+000	1,642879040774955E+000	0,0000000E+000
0,000000000000000E+000	1,680359558011929E+000	0,000000000000000E+000	2,5002582E+000	-1,023274271929476E+000	2,180478544916477E+003	-4,497662182057445E+000	1,680359558011929E+000	0,0000000E+000
0,000000000000000E+000	1,717839885782560E+000	0,000000000000000E+000	2,4973900E+000	-1,060754599700106E+000	2,210478544158614E+003	-4,497639446095591E+000	1,717839885782560E+000	0,0000000E+000
